Country,AREA,Continent,REG,Region,DEV,Developed_nation,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Nepal,935,Asia,5501,Southern Asia,902,Developing regions,,236,272,363,313,404,607,540,511,581,561,1392,1129,1185,1308
Netherlands,908,Europe,926,Western Europe,901,Developed regions,,838,806,676,617,749,813,837,615,818,786,759,586,504,395
New Caledonia,909,Oceania,928,Melanesia,902,Developing regions,,0,1,0,1,0,0,0,0,1,0,0,0,0,2
New Zealand,909,Oceania,927,Australia and New Zealand,901,Developed regions,,212,360,321,345,350,370,318,350,480,520,490,375,417,415
Nicaragua,904,Latin America and the Caribbean,916,Central America,902,Developing regions,,140,108,69,88,67,79,96,76,124,116,94,123,106,96
Niger,903,Africa,914,Western Africa,902,Developing regions,,20,23,30,30,38,59,57,75,75,82,80,90,95,105
Nigeria,903,Africa,914,Western Africa,902,Developing regions,,1182,1426,1403,1064,1518,2236,2594,2375,2109,3156,3906,3103,3443,4172
Norway,908,Europe,924,Northern Europe,901,Developed regions,,56,78,74,77,73,57,53,73,66,75,46,49,53,59
Oman,935,Asia,922,Western Asia,902,Developing regions,,7,12,7,11,12,14,18,16,10,7,14,10,13,11
Pakistan,935,Asia,5501,Southern Asia,902,Developing regions,,15400,16708,15110,13205,13399,14314,13127,10124,8994,7217,6811,7468,11227,12603
Palau,909,Oceania,954,Micronesia,902,Developing regions,,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Panama,904,Latin America and the Caribbean,916,Central America,902,Developing regions,,45,50,48,54,38,57,73,63,52,73,65,49,34,43
Papua New Guinea,909,Oceania,928,Melanesia,902,Developing regions,,4,2,0,4,1,1,0,0,9,1,3,0,3,3
Paraguay,904,Latin America and the Caribbean,931,South America,902,Developing regions,,29,34,60,88,74,75,88,98,95,88,89,83,55,66
Peru,904,Latin America and the Caribbean,931,South America,902,Developing regions,,603,849,855,1023,1460,1653,1473,1490,1094,1884,1283,886,787,682
Philippines,935,Asia,920,South-Eastern Asia,902,Developing regions,,10763,13836,11707,12758,14004,18139,18400,19837,24887,28573,38617,36765,34315,29544
Poland,908,Europe,923,Eastern Europe,901,Developed regions,,1471,1601,1447,1394,1533,1405,1263,1235,1267,1013,795,720,779,852
Portugal,908,Europe,925,Southern Europe,901,Developed regions,,469,531,364,329,336,338,424,405,665,623,629,528,560,630
Qatar,935,Asia,922,Western Asia,902,Developing regions,,4,21,4,4,5,11,2,5,9,6,18,3,14,6
Republic of Korea,935,Asia,906,Eastern Asia,902,Developing regions,,7618,9619,7342,7117,5352,5832,6215,5920,7294,5874,5537,4588,5316,4509
Republic of Moldova,908,Europe,923,Eastern Europe,901,Developed regions,,288,513,612,592,628,655,803,1099,1127,1535,1988,1367,1416,1231
Romania,908,Europe,923,Eastern Europe,901,Developed regions,,4539,5652,5765,5541,5755,5048,4468,3834,2837,2076,1922,1776,1588,1512
Russian Federation,908,Europe,923,Eastern Europe,901,Developed regions,,3843,4351,3941,3718,3989,3972,3117,2983,2690,2931,2288,1963,2079,2466
Rwanda,903,Africa,910,Eastern Africa,902,Developing regions,,383,286,215,290,299,378,360,420,358,415,396,492,562,415
Saint Kitts and Nevis,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,,11,11,8,12,8,11,3,10,25,11,22,12,21,18
Saint Lucia,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,,94,116,82,89,110,185,190,255,298,257,249,261,382,392
Saint Vincent and the Grenadines,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,,279,288,240,199,294,343,383,579,434,511,434,451,523,538
Samoa,909,Oceania,957,Polynesia,902,Developing regions,,1,2,2,3,3,2,0,1,4,2,5,3,2,0
San Marino,908,Europe,925,Southern Europe,901,Developed regions,,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Sao Tome and Principe,903,Africa,911,Middle Africa,902,Developing regions,,1,0,0,0,1,1,1,0,0,1,2,0,0,1
Saudi Arabia,935,Asia,922,Western Asia,902,Developing regions,,89,98,71,70,128,198,252,188,249,246,330,278,286,267
Senegal,903,Africa,914,Western Africa,902,Developing regions,,121,129,165,171,210,278,416,433,555,668,765,740,949,818
Serbia,908,Europe,925,Southern Europe,901,Developed regions,,0,0,0,0,0,0,3,50,259,365,271,299,395,297
Seychelles,903,Africa,910,Eastern Africa,902,Developing regions,,15,9,4,13,15,25,8,9,18,4,10,10,6,5
Sierra Leone,903,Africa,914,Western Africa,902,Developing regions,,308,386,412,391,347,191,138,92,103,70,63,96,72,63
Singapore,935,Asia,920,South-Eastern Asia,902,Developing regions,,444,473,588,391,311,392,298,690,734,366,805,219,146,141
Slovakia,908,Europe,923,Eastern Europe,901,Developed regions,,460,585,615,501,597,369,241,215,125,128,135,134,136,105
Slovenia,908,Europe,925,Southern Europe,901,Developed regions,,24,22,16,18,17,23,11,29,18,27,12,13,36,20
Somalia,903,Africa,910,Eastern Africa,902,Developing regions,,1568,1155,730,957,1364,1198,1061,1166,1015,1214,1528,1535,1582,2028
South Africa,903,Africa,913,Southern Africa,902,Developing regions,,1763,1899,1498,1245,1175,988,1111,1200,1123,1188,1238,959,1243,1240
Spain,908,Europe,925,Southern Europe,901,Developed regions,,93,79,87,89,133,126,124,137,169,195,174,179,262,331
Sri Lanka,935,Asia,5501,Southern Asia,902,Developing regions,,6081,5861,5279,4892,4495,4930,4714,4123,4756,4547,4422,3309,3338,2394
State of Palestine,935,Asia,922,Western Asia,902,Developing regions,,238,343,266,323,376,453,627,441,481,400,654,555,533,462
Sudan,903,Africa,912,Northern Africa,902,Developing regions,,914,1105,1489,1862,1823,1310,1039,683,622,422,612,531,444,343
Suriname,904,Latin America and the Caribbean,931,South America,902,Developing regions,,16,22,22,22,17,15,16,20,9,12,13,11,16,4
Swaziland,903,Africa,913,Southern Africa,902,Developing regions,,2,2,1,0,8,7,7,5,6,10,3,13,17,39
Sweden,908,Europe,924,Northern Europe,901,Developed regions,,138,184,149,161,129,205,139,193,165,167,159,134,140,140
Switzerland,908,Europe,926,Western Europe,901,Developed regions,,471,383,276,346,337,270,258,308,357,328,285,266,243,201
Syrian Arab Republic,935,Asia,922,Western Asia,902,Developing regions,,924,1067,956,1085,1116,1458,1145,1056,919,917,1039,1005,650,1009
Tajikistan,935,Asia,5500,Central Asia,902,Developing regions,,5,20,9,7,14,85,46,44,15,50,52,47,34,39
Thailand,935,Asia,920,South-Eastern Asia,902,Developing regions,,258,309,547,439,392,575,500,487,519,512,499,396,296,400
The former Yugoslav Republic of Macedonia,908,Europe,925,Southern Europe,901,Developed regions,,237,291,353,638,443,285,256,211,191,198,188,130,126,112
Togo,903,Africa,914,Western Africa,902,Developing regions,,57,94,105,106,163,157,149,235,351,400,354,261,299,316
Tonga,909,Oceania,957,Polynesia,902,Developing regions,,0,6,2,5,5,2,0,1,0,5,5,2,3,5
Trinidad and Tobago,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,,899,904,928,707,730,857,794,975,1002,1134,915,588,586,427
Tunisia,903,Africa,912,Northern Africa,902,Developing regions,,437,788,661,669,764,756,1065,869,950,1195,1299,1442,1503,1627
Turkey,935,Asia,922,Western Asia,902,Developing regions,,1101,1184,1301,1338,1736,2065,1638,1463,1122,1238,1492,1257,1068,729
Turkmenistan,935,Asia,5500,Central Asia,902,Developing regions,,7,10,11,22,16,40,26,37,13,20,30,20,20,14
Tuvalu,909,Oceania,957,Polynesia,902,Developing regions,,0,0,0,0,2,0,0,1,0,0,0,1,0,0
Uganda,903,Africa,910,Eastern Africa,902,Developing regions,,64,94,90,117,160,239,201,170,204,185,216,213,222,206
Ukraine,908,Europe,923,Eastern Europe,901,Developed regions,,3351,3514,3520,2759,2431,2270,1973,2218,1937,2367,3159,2515,2265,2487
United Arab Emirates,935,Asia,922,Western Asia,902,Developing regions,,27,41,37,32,41,31,42,37,33,37,86,60,54,46
United Kingdom of Great Britain and Northern Ireland,908,Europe,924,Northern Europe,901,Developed regions,,8840,11728,8046,6797,7533,7258,7140,8216,8979,8876,8724,6204,6195,5827
United Republic of Tanzania,903,Africa,910,Eastern Africa,902,Developing regions,,200,301,298,320,310,274,291,195,230,136,200,215,224,182
United States of America,905,Northern America,905,Northern America,901,Developed regions,,5433,5604,4948,5543,6990,8394,9613,9463,10190,8995,8142,7676,7891,8501
Uruguay,904,Latin America and the Caribbean,931,South America,902,Developing regions,,75,64,91,103,130,217,175,147,160,99,93,81,47,58
Uzbekistan,935,Asia,5500,Central Asia,902,Developing regions,,101,102,144,155,175,330,262,284,215,288,289,162,235,167
Vanuatu,909,Oceania,928,Melanesia,902,Developing regions,,0,1,0,1,1,1,1,0,0,1,0,0,0,0
Venezuela (Bolivarian Republic of),904,Latin America and the Caribbean,931,South America,902,Developing regions,,443,560,524,699,1224,1211,1192,1335,1239,1353,998,1452,1373,1022
Viet Nam,935,Asia,920,South-Eastern Asia,902,Developing regions,,1803,2117,2291,1713,1816,1852,3153,2574,1784,2171,1942,1723,1731,2112
Western Sahara,903,Africa,912,Northern Africa,902,Developing regions,,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Yemen,935,Asia,922,Western Asia,902,Developing regions,,122,181,171,113,124,161,140,122,133,128,211,160,174,217
Zambia,903,Africa,910,Eastern Africa,902,Developing regions,,39,78,50,46,56,91,77,71,64,60,102,69,46,59
Zimbabwe,903,Africa,910,Eastern Africa,902,Developing regions,,98,110,191,669,1450,615,454,663,611,508,494,434,437,407
Unknown,999,World,999,World,999,World,,10743,7993,5938,4052,3739,4785,4583,4348,4197,3402,3731,2554,1681,1484
Total,999,World,999,World,999,World,,227455,250636,229049,221349,235822,262242,251640,236753,247244,252170,280687,248748,257903,259021
